Open time,Close
2018-01-01 00:00:00.000000 UTC,13380
2018-01-02 00:00:00.000000 UTC,14675.11
2018-01-03 00:00:00.000000 UTC,14919.51
2018-01-04 00:00:00.000000 UTC,15059.54
2018-01-05 00:00:00.000000 UTC,16960.39
2018-01-06 00:00:00.000000 UTC,17069.79
2018-01-07 00:00:00.000000 UTC,16150.03
2018-01-08 00:00:00.000000 UTC,14902.54
2018-01-09 00:00:00.000000 UTC,14400
2018-01-10 00:00:00.000000 UTC,14907.09
2018-01-11 00:00:00.000000 UTC,13238.78
2018-01-12 00:00:00.000000 UTC,13740.01
2018-01-13 00:00:00.000000 UTC,14210
2018-01-14 00:00:00.000000 UTC,13474.99
2018-01-15 00:00:00.000000 UTC,13539.93
2018-01-16 00:00:00.000000 UTC,10900
2018-01-17 00:00:00.000000 UTC,10988.79
2018-01-18 00:00:00.000000 UTC,10961.97
2018-01-19 00:00:00.000000 UTC,11474.98
2018-01-20 00:00:00.000000 UTC,12799.94
2018-01-21 00:00:00.000000 UTC,11530
2018-01-22 00:00:00.000000 UTC,10760.05
2018-01-23 00:00:00.000000 UTC,10799.18
2018-01-24 00:00:00.000000 UTC,11349.99
2018-01-25 00:00:00.000000 UTC,11175.27
2018-01-26 00:00:00.000000 UTC,11089
2018-01-27 00:00:00.000000 UTC,11491
2018-01-28 00:00:00.000000 UTC,11879.95
2018-01-29 00:00:00.000000 UTC,11251
2018-01-30 00:00:00.000000 UTC,10237.51
2018-01-31 00:00:00.000000 UTC,10285.1
2018-02-01 00:00:00.000000 UTC,9224.52
2018-02-02 00:00:00.000000 UTC,8873.03
2018-02-03 00:00:00.000000 UTC,9199.96
2018-02-04 00:00:00.000000 UTC,8184.81
2018-02-05 00:00:00.000000 UTC,6939.99
2018-02-06 00:00:00.000000 UTC,7652.14
2018-02-07 00:00:00.000000 UTC,7599
2018-02-08 00:00:00.000000 UTC,7784.02
2018-02-09 00:00:00.000000 UTC,8683.92
2018-02-10 00:00:00.000000 UTC,8533.98
2018-02-11 00:00:00.000000 UTC,8063.88
2018-02-12 00:00:00.000000 UTC,8903
2018-02-13 00:00:00.000000 UTC,8539.9
2018-02-14 00:00:00.000000 UTC,9449.99
2018-02-15 00:00:00.000000 UTC,10000.09
2018-02-16 00:00:00.000000 UTC,10159.98
